City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,minot air force base,48.4209,-101.3391,18.1,39,0,6.17,US,1693951795
83,alvaraes,-3.2208,-64.8042,33.93,30,7,0.68,BR,1693951796
84,la'ie,21.6477,-157.9253,31.98,65,99,4.47,US,1693951457
85,goondiwindi,-28.55,150.3167,17.65,33,1,2.47,AU,1693951796
86,montepuez,-13.1256,38.9997,19.68,81,0,2.45,MZ,1693951796
87,pitimbu,-7.4706,-34.8086,25.33,80,2,6.52,BR,1693951796
88,manokwari,-0.8667,134.0833,25.53,80,74,1.1,ID,1693951403
89,port elizabeth,-33.918,25.5701,12.16,71,0,8.75,ZA,1693951216
90,turis,39.3833,-0.7,24.99,95,51,0.88,ES,1693951796
91,hammerfest,70.6634,23.6821,7.25,81,75,7.72,NO,1693951429
92,yellowknife,62.456,-114.3525,15.79,52,75,2.57,CA,1693951105
93,codrington,-38.2667,141.9667,7.71,71,75,6.99,AU,1693951423
94,helena,46.5927,-112.0361,23.23,62,100,3.6,US,1693951546
95,iqaluit,63.7506,-68.5145,4.85,80,100,3.6,CA,1693951214
96,lambres-lez-douai,50.35,3.0667,22.53,67,49,2.94,FR,1693951797
97,papatowai,-46.5619,169.4708,12.73,69,98,1.86,NZ,1693951400
98,isangel,-19.55,169.2667,25.06,78,75,2.57,VU,1693951415
99,cidreira,-30.1811,-50.2056,13.53,72,79,3.71,BR,1693951416
100,acarau,-2.8856,-40.12,26.11,81,4,8.62,BR,1693951467
101,turpan,42.9333,89.1667,24.28,41,100,0.35,CN,1693951798
102,mandan,46.8267,-100.8896,16.99,71,0,8.75,US,1693951635
103,dudinka,69.4058,86.1778,2.57,80,84,2.06,RU,1693951408
104,i-n-salah,27.1935,2.4607,38.49,15,21,3.54,DZ,1693951447
105,margaret river,-33.95,115.0667,13.46,53,84,9.66,AU,1693951389
106,tolanaro,-25.0319,46.9987,22.04,78,0,8.23,MG,1693951453
107,barakani,-12.1356,44.4317,24.42,80,10,3.81,KM,1693951798
108,ushuaia,-54.8,-68.3,1.81,60,0,2.57,AR,1693951310
109,basco,20.4487,121.9702,27.64,81,100,3.92,PH,1693951408
110,cannonvale,-20.2833,148.7,22.66,75,3,3.69,AU,1693951799
111,new norfolk,-42.7826,147.0587,11.07,71,96,2.2,AU,1693951420
112,san pedro pochutla,15.7333,-96.4667,30.95,63,94,2.69,MX,1693951799
113,wuwei,37.9281,102.6414,21.23,53,52,2.36,CN,1693951799
114,shingu,33.7333,135.9833,24.56,90,65,1.31,JP,1693951432
115,kodiak,57.79,-152.4072,12.73,76,0,2.57,US,1693951411
116,medina,24.4686,39.6142,37.24,9,0,1.03,SA,1693951602
117,ciudad sabinas hidalgo,26.5,-100.1667,40.37,20,0,6.71,MX,1693951799
118,iskateley,67.6803,53.1512,13.17,85,100,6.11,RU,1693951391
119,sumbe,-11.2061,13.8437,20.91,92,11,3.22,AO,1693951800
120,okha,53.5739,142.9478,13.14,90,92,5.89,RU,1693951468
121,ritchie,-29.038,24.6028,6.93,33,49,4.4,ZA,1693951800
122,sinabang,2.4803,96.3801,24.19,93,100,1.84,ID,1693951410
123,broome,42.2506,-75.833,30.8,77,0,3.09,US,1693951801
124,kotlas,61.2611,46.6556,15.59,70,100,1.34,RU,1693951801
125,lesnoy,57.6198,63.0784,6.21,82,19,2.1,RU,1693951801
126,esmeraldas,-19.7625,-44.3139,23.48,75,65,4.56,BR,1693951802
127,olonkinbyen,70.9221,-8.7187,6.1,91,69,9.21,SJ,1693951384
128,brisas de zicatela,15.8369,-97.0419,29.29,54,75,0.0,MX,1693951802
129,piacabucu,-10.4056,-36.4344,23.8,83,6,4.89,BR,1693951431
130,okeechobee,27.2439,-80.8298,30.56,64,75,2.57,US,1693951802
131,paoua,7.2427,16.4406,19.07,96,96,1.23,CF,1693951803
132,klyuchi,52.2667,79.1667,10.11,67,93,2.75,RU,1693951400
133,mili,6.0815,171.735,28.86,76,64,5.03,MH,1693951425
134,neya,58.2972,43.8681,12.37,72,100,2.46,RU,1693951803
135,nouadhibou,20.931,-17.0347,25.99,57,20,6.69,MR,1693951467
136,ampanihy,-24.7,44.75,19.9,66,0,1.39,MG,1693951804
137,juneau,58.3019,-134.4197,15.12,93,31,1.22,US,1693951270
138,qaqortoq,60.7167,-46.0333,6.24,99,100,1.41,GL,1693951412
139,huilong,31.8111,121.655,26.63,90,21,3.92,CN,1693951804
140,albany,42.6001,-73.9662,31.0,70,73,0.89,US,1693951387
141,ancud,-41.8697,-73.8203,9.79,86,100,13.93,CL,1693951231
142,longyearbyen,78.2186,15.6401,5.91,81,75,3.6,SJ,1693951384
143,susanville,40.4163,-120.653,25.37,42,0,3.58,US,1693951703
144,tazovsky,67.4667,78.7,4.23,89,12,2.24,RU,1693951391
145,barra de santo antonio,-9.4047,-35.5072,24.6,83,16,5.35,BR,1693951805
146,saipan,15.1355,145.701,26.39,94,75,4.12,MP,1693951423
147,isafjordur,66.0755,-23.124,12.17,90,89,8.03,IS,1693951416
148,port alfred,-33.5906,26.891,11.21,75,23,2.24,ZA,1693951399
149,college,64.8569,-147.8028,14.18,81,100,2.57,US,1693951373
150,tual,-5.6667,132.75,25.05,84,32,7.0,ID,1693951805
151,madison,34.7334,-86.5667,31.58,64,75,0.89,US,1693951587
152,puerto ayora,-0.7393,-90.3518,26.98,87,53,2.68,EC,1693951403
153,madera,37.1666,-119.8343,33.34,32,0,2.58,US,1693951751
154,aasiaat,68.7098,-52.8699,3.8,95,100,5.04,GL,1693951388
155,anadyr,64.75,177.4833,4.28,86,75,8.0,RU,1693951413
156,cam ranh,11.9214,109.1591,26.98,94,40,0.51,VN,1693951806
157,n'zeto,-7.2312,12.8666,21.85,92,87,2.84,AO,1693951806
158,bardai,11.65,7.2333,22.38,85,28,2.78,NG,1693951416
159,colonia,50.9333,6.95,23.23,64,0,2.06,DE,1693951235
160,la passe,45.5549,-0.8967,26.13,56,73,3.5,FR,1693951431
161,punta del este,-34.9667,-54.95,9.06,68,75,3.13,UY,1693951203
162,zuunmod,47.7069,106.9528,18.57,46,62,3.32,MN,1693951807
163,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,87,0,1.0,RU,1693951185
164,polyarnyy,69.1989,33.4478,7.95,81,95,2.48,RU,1693951402
165,brookings,44.3114,-96.7984,27.0,62,100,4.12,US,1693951245
166,acapulco de juarez,16.8634,-99.8901,30.9,70,75,3.6,MX,1693951732
167,nar'yan-mar,67.6713,53.087,13.65,82,100,6.47,RU,1693951258
168,ataq,14.5377,46.8319,29.0,42,86,1.75,YE,1693951808
